keyword,description,category,datatype,comment,hdu,missions,mandatory,content,relevance_score,relevance_comment,user_comment
PI_NAME,Principal investigator name,Program,string,Principal investigator name,PRIMARY,JWST; HST,False,"This keyword stores the name of the Principal Investigator (PI) who led the astronomical observing program. It identifies the lead scientist or team responsible for the observations, which is useful for attribution, finding related publications, or contacting the original researchers.",75,"Identifies the lead scientist for the program, useful for attribution and contextual research.",
CATEGORY,Program category assigned by TAC or PI,Program,string,Program category,PRIMARY,JWST,False,"This keyword assigns a broad scientific category to the observing program, typically determined by the Telescope Allocation Committee (TAC) or the PI. It helps classify the data by overarching scientific themes (e.g., Exoplanets, Cosmology), aiding in data discovery and filtering.",70,"Helps categorize the scientific context of the observation, useful for discovery and filtering data.",
SUBCAT,"Program sub-category (FGS, MIRI, NIRCAM, NIRISS, NIRSPEC, SC)",Program,string,Program sub-category,PRIMARY,JWST,False,"For JWST, this keyword specifies a program sub-category that often directly indicates the instrument used for the observation (e.g., MIRI, NIRCAM). Knowing the instrument is critical for understanding data characteristics, capabilities, and for specialized analysis.",80,"Essential for knowing which specific instrument was used to acquire the data, crucial for understanding data properties.",
SCICAT,Science category assigned during TAC process,Program,string,Science category,PRIMARY,JWST,False,"This keyword denotes a specific science category assigned during the Telescope Allocation Committee (TAC) review process. It offers a more detailed scientific classification than 'CATEGORY', often relating to the specific target type or astrophysical phenomenon under study.",65,"Offers a more granular scientific classification, useful for advanced data filtering and understanding research focus.",
CONT_ID,Continuation of previous program number,Program,integer,Continuation of previous program,PRIMARY,JWST,False,"This keyword is an integer identifier that indicates if the current observing program is a continuation of a previous program number. It helps link related observations across different observing cycles or proposals, which is valuable for tracking long-term studies or follow-up campaigns.",45,"Primarily useful for researchers tracking extended or related observing programs, less for general users.",
AUTHOR,Author of the data or FITS file,Program,string,Author of the data,PRIMARY,FITS Standard,False,"This keyword specifies the individual or entity responsible for creating or processing the FITS file itself. It provides attribution for the data product, which might be different from the Principal Investigator of the original observations, and is useful for data provenance.",30,"Provides attribution for the FITS file creator, useful for data provenance rather than direct astronomical content.",
WCSAXES,Number of World Coordinate System axes,WCS,integer,number of World Coordinate System axes,SCI,FITS Standard; JWST; HST; TESS; Pan-STARRS,False,"This keyword indicates the number of World Coordinate System (WCS) axes defined for the image data. It's a technical detail that tells software how many physical dimensions (e.g., celestial coordinates, spectral channels, time) are mapped by the WCS, enabling proper interpretation of the data array.",25,"A technical detail about the WCS structure, less directly consumed by end-users than the actual coordinate values.",
CRPIX1,Reference pixel on axis 1 (1-indexed),WCS,float,"Axis 1 pixel coordinate of ref point, 1-indexed",SCI,FITS Standard; JWST; HST; TESS; Kepler; GALEX; Spitzer; Pan-STARRS,False,This keyword specifies the pixel coordinate of the reference point along the first image axis (typically the x-axis) within the World Coordinate System. It's a fundamental parameter used in the mathematical conversion from pixel coordinates to real-world coordinates (like Right Ascension on the sky).,50,"A critical WCS parameter enabling coordinate transformations, but not directly interpreted by typical end-users.",
CRPIX2,Reference pixel on axis 2 (1-indexed),WCS,float,"Axis 2 pixel coordinate of ref point, 1-indexed",SCI,FITS Standard; JWST; HST; TESS; Kepler; GALEX; Spitzer; Pan-STARRS,False,"This keyword specifies the pixel coordinate on the second axis (y-axis) that corresponds to the sky coordinate given by CRVAL2. It acts as a reference point for the World Coordinate System (WCS) calculations, defining the origin for coordinate transformations.",30,It's an internal parameter of the WCS calculation not typically directly needed by end-users.,
CRVAL1,Coordinate value at reference pixel on axis 1 (usually RA in degrees),WCS,float,Axis 1 coordinate value at reference point,SCI,FITS Standard; JWST; HST; TESS; Kepler; GALEX; Spitzer; Pan-STARRS,False,"This keyword provides the celestial coordinate value (usually Right Ascension in degrees) at the reference pixel on the first image axis (x-axis). It defines the absolute sky position of a specific point in the image, typically near its center.",95,"Essential for knowing the exact sky location an image covers, fundamental for finding objects or cross-referencing with other data.",
